task_index	nodes	leaves	central_rejects	strong_cheap_prunes	exact_checks	exact_prunes	answer
6	101634594	252	252	92734988	209365899	108935971	-
10030	6	0	0	0	0	0	-
17159	1	0	0	0	0	0	-
18113	17976534	27	27	15716324	37542698	19743423	-
22164	55728708	223	223	51119762	114426272	59214860	-
25122	9269011	19	19	8685954	18589663	9415371	-
32226	20853181	43	43	18341867	43656066	23060689	-
45012	22175795	59	59	20600889	44736008	22808131	-
51709	5974336	19	19	5752210	11723345	5853989	-
59587	35163611	92	92	39148281	65735922	30933471	-
59877	26786757	69	69	23917584	55072278	28609181	-
63775	2356062	2	2	2292663	4551688	2227224	-
67056	82274719	165	165	77347456	168141572	86578805	-
72847	172353355	306	306	154837101	361202786	190145334	-
94705	12953635	18	18	11622175	26539560	13739515	-
104069	10987746	19	19	9113635	23518811	12693366	-
106778	31185303	143	143	26371994	67242224	36291950	-
111837	17205815	31	31	16121169	34346728	17386024	-
138153	25910095	79	79	24352214	51571209	25976979	-
144373	44968949	147	147	42159394	90471425	46001193	-
146236	71815427	182	182	68221768	144375512	73221518	-
151772	8062169	42	42	8039318	15688149	7729286	-
153596	15078124	53	53	14115529	30372025	15480863	-
161681	69555133	62	62	66477656	139654408	70920661	-
162021	95705987	158	158	97615551	189947587	95022593	-
166995	10085835	48	48	9006303	20918581	10914981	-
167086	40437328	167	167	40750475	79908736	39847493	-
179358	2464111	6	6	2273517	4928074	2504282	-
202968	14634	0	0	14233	28869	14853	-
204404	1	0	0	0	0	0	-
218051	45645576	43	43	37343650	98814363	53592094	-
231192	27561487	20	20	23264152	58331579	31118611	-
235053	74305711	70	70	68268901	151563843	78125261	-
237465	30721019	24	24	29199855	61176266	30880043	-
247354	133775877	195	195	101326192	303120071	170287368	-
251857	2295396	0	0	2000610	4884812	2621026	-
269386	36924553	129	129	34339509	74671767	38159622	-
281251	684740	0	0	636442	1421001	744450	-
284505	7985838	15	15	7216531	16149327	8286414	-
286412	38061903	83	83	32520710	80451690	42780857	-
290257	5725427	12	12	5056082	11613224	6004061	-
296254	479973	0	0	478332	940937	468579	-
309812	50148309	71	71	45988135	102004934	52467183	-
319670	5651836	17	17	4953001	11720123	6132829	-
327707	28892729	35	35	25157499	60148143	31593749	-
331507	2374591	0	0	2036275	4971450	2629020	-
335201	10354789	21	21	8964929	21629614	11410850	-
344245	4	0	0	0	0	0	-
345792	43805029	45	45	39819421	89919820	46616736	-
350200	28476524	26	26	24530625	59846178	31699848	-
362906	1312857	0	0	1209263	2641076	1343121	-
378311	16902219	16	16	13602478	36657423	19932664	-
389596	82366431	73	73	69714050	175668915	94165208	-
399154	23626848	7	7	22669934	47416528	24097428	-
402088	113911840	170	170	99631719	241052869	128228099	-
404316	26607314	39	39	23789751	54607437	28338377	-
422329	99659701	100	100	84969575	210794806	112246451	-
439107	32161989	66	66	28282056	66304834	34522080	-
452589	31184899	35	35	27484533	64001406	33318464	-
466458	1	0	0	0	0	0	-
471639	23696520	21	21	20894816	48836602	25442529	-
477745	13435008	20	20	11909790	27504492	14239765	-
478989	534857	1	1	465583	1109785	585265	-
483770	43620254	219	219	35799416	93572495	50335730	-
486764	97246384	107	107	77419367	212518401	116200954	-
487458	2422792	0	0	2012829	5121448	2736460	-
494400	5498971	11	11	4854714	11352950	5913629	-
496869	18438984	47	47	16318441	37950929	19746668	-
518582	62302519	141	141	51612449	133386604	71657357	-
524135	15004987	10	10	13158661	30839446	16028135	-
532195	1	0	0	0	0	0	-
532841	23217302	58	58	21079779	47012060	24098721	-
543364	8691314	44	44	8018446	17252596	8683841	-
558055	112064027	163	163	104198404	230262787	119309221	-
575352	18010637	61	61	16820041	36470684	18681095	-
591079	24279420	89	89	21932100	49721074	25733797	-
597888	31897649	74	74	28111594	66325516	34773183	-
603243	2	0	0	0	0	0	-
651695	31317157	82	82	28968144	62451798	31576809	-
677029	17633882	73	73	16503008	35075778	17678486	-
678337	2	0	0	0	0	0	-
717379	76883526	194	194	68359777	160198285	84067862	-
719495	14241625	26	26	14292024	27297063	13279395	-
723307	6254072	25	25	6150583	12123853	5975767	-
