TASK	2841	100000	0	0	88057	200531	101976	0.0888507	-	TRUNCATED
TASK	4736	100000	0	0	101661	180757	82872	0.0832024	-	TRUNCATED
TASK	11622	1	0	0	0	0	0	4.2e-08	-	COMPLETE
TASK	18645	100000	0	0	98754	193967	95079	0.0869952	-	TRUNCATED
TASK	27098	100000	0	0	103526	183291	86056	0.0856491	-	TRUNCATED
TASK	30207	100000	0	0	93744	197010	99777	0.090354	-	TRUNCATED
TASK	35033	100000	0	0	92102	211069	111987	0.0966068	-	TRUNCATED
TASK	42191	100000	0	0	99190	201275	102574	0.0899761	-	TRUNCATED
TASK	45219	1695	0	0	851	2496	1454	0.00126375	-	COMPLETE
TASK	49233	100000	0	0	103798	192257	93246	0.0892437	-	TRUNCATED
TASK	52653	100000	1	1	91171	190017	94650	0.087735	-	TRUNCATED
TASK	56702	100000	0	0	101188	182113	84904	0.08508	-	TRUNCATED
TASK	66173	100000	0	0	112322	179863	80980	0.0871359	-	TRUNCATED
TASK	86701	497	0	0	862	315	83	0.0004815	-	COMPLETE
TASK	101469	100000	0	0	102628	176144	77406	0.0836938	-	TRUNCATED
TASK	116645	100000	0	0	81997	208301	110845	0.0963473	-	TRUNCATED
TASK	125035	100000	0	0	89724	197516	101767	0.0906846	-	TRUNCATED
TASK	133170	100000	0	0	120432	170722	71770	0.0837027	-	TRUNCATED
TASK	136136	100000	0	0	107834	188070	88712	0.0869822	-	TRUNCATED
TASK	138835	16	0	0	0	0	0	5.83e-07	-	COMPLETE
TASK	142484	100000	0	0	86811	209175	111411	0.0909464	-	TRUNCATED
TASK	143563	100000	0	0	86674	206820	111362	0.091819	-	TRUNCATED
TASK	149079	100000	0	0	92964	204411	105931	0.0969844	-	TRUNCATED
TASK	149680	100000	0	0	89325	212062	113213	0.0956842	-	TRUNCATED
TASK	152192	1	0	0	0	0	0	2.5e-07	-	COMPLETE
TASK	153980	100000	0	0	102584	191914	94289	0.0935102	-	TRUNCATED
TASK	158605	100000	0	0	91059	209778	111821	0.100118	-	TRUNCATED
TASK	158771	100000	0	0	89544	206851	107760	0.0933409	-	TRUNCATED
TASK	173078	100000	0	0	102171	189835	90391	0.0938228	-	TRUNCATED
TASK	175476	100000	1	1	88598	206560	107664	0.0951196	-	TRUNCATED
TASK	179424	100000	0	0	86550	206899	107999	0.0954222	-	TRUNCATED
TASK	181148	61	0	0	0	0	0	1.25e-06	-	COMPLETE
TASK	182096	100000	0	0	105008	191654	92584	0.0940724	-	TRUNCATED
TASK	189262	100000	0	0	86483	202052	104408	0.0941281	-	TRUNCATED
TASK	204190	100000	0	0	100173	176904	79525	0.0883977	-	TRUNCATED
TASK	212232	100000	0	0	94147	201406	102596	0.0987434	-	TRUNCATED
TASK	226428	100000	0	0	75933	220433	122886	0.102164	-	TRUNCATED
TASK	236198	100000	0	0	96430	170561	80446	0.094084	-	TRUNCATED
TASK	240995	100000	4	4	89017	209278	110269	0.0971633	-	TRUNCATED
TASK	289829	100000	0	0	106312	182923	85425	0.0927972	-	TRUNCATED
TASK	290881	100000	0	0	92846	205574	107270	0.097715	-	TRUNCATED
TASK	295616	1	0	0	0	0	0	2.5e-07	-	COMPLETE
TASK	301396	100000	0	0	94211	183949	92393	0.0938519	-	TRUNCATED
TASK	304095	100000	0	0	104780	185476	86438	0.0906397	-	TRUNCATED
TASK	304571	100000	0	0	79630	215531	117038	0.100275	-	TRUNCATED
TASK	304802	100000	0	0	96132	196245	97265	0.0957758	-	TRUNCATED
TASK	306280	100000	0	0	71990	231796	132825	0.104223	-	TRUNCATED
TASK	322890	100000	0	0	97047	197395	98819	0.0984002	-	TRUNCATED
TASK	324307	100000	0	0	81794	217059	117635	0.099186	-	TRUNCATED
TASK	331543	19	0	0	0	0	0	6.25e-07	-	COMPLETE
TASK	337178	100000	0	0	80439	219986	120668	0.101342	-	TRUNCATED
TASK	342709	100000	0	0	85221	218605	118970	0.102793	-	TRUNCATED
TASK	355056	100000	0	0	92781	194672	97491	0.0975505	-	TRUNCATED
TASK	364419	100000	0	0	104303	187619	88935	0.0935117	-	TRUNCATED
TASK	374190	100000	0	0	88856	193780	96303	0.095214	-	TRUNCATED
TASK	381955	100000	4	4	79817	218285	120239	0.098765	-	TRUNCATED
TASK	382892	1	0	0	0	0	0	2.5e-07	-	COMPLETE
TASK	384374	100000	0	0	103935	175026	76978	0.090781	-	TRUNCATED
TASK	387931	4715	0	0	5110	5103	1860	0.00405217	-	COMPLETE
TASK	389017	2	0	0	0	0	0	2.5e-07	-	COMPLETE
TASK	391453	67	0	0	0	0	0	7.5e-07	-	COMPLETE
TASK	400325	100000	4	4	95135	204876	105359	0.0981422	-	TRUNCATED
TASK	407008	100000	0	0	94259	188903	92842	0.094724	-	TRUNCATED
TASK	412586	100000	0	0	75771	221618	123329	0.100887	-	TRUNCATED
TASK	415051	100000	0	0	84765	217055	118313	0.100065	-	TRUNCATED
TASK	417461	100000	0	0	90609	195698	98279	0.092382	-	TRUNCATED
TASK	431953	100000	0	0	82289	207220	108927	0.0993398	-	TRUNCATED
TASK	443495	100000	0	0	81394	216437	117419	0.09858	-	TRUNCATED
TASK	454163	1	0	0	0	0	0	2.09e-07	-	COMPLETE
TASK	455962	100000	0	0	75754	215618	118526	0.101798	-	TRUNCATED
TASK	457034	100000	0	0	94386	194102	95478	0.0927888	-	TRUNCATED
TASK	457432	100000	0	0	94923	198496	99634	0.0930273	-	TRUNCATED
TASK	460354	100000	0	0	98848	198353	100452	0.0959404	-	TRUNCATED
